meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-41309099,T.Siddiqui,مکان 141 گلی 16 B-17 اسلام آباد,357180,Domestic
MTR-14136232,M. Sial,H#48 St-14 G-10/2 Islamabad,58788,Domestic
MTR-93348828,S. Joiya,H#4 St-11 MadinaTown Faisalabad,27609,Commercial
MTR-68087047,A.Raja,مکان 184 گلی 23 Clifton Block 2 کراچی,320070,Domestic
MTR-80204163,Sardar Khalid Raja,"House No. 322, Gali 40, Madina Town, Faisalabad",56523,Commercial
MTR-71459213,Zubair راجہ,"52-25 Hayatabad Phase 3, Peshawar",31948,Commercial
MTR-12986213,F. Lodhi,H#332 St-5 Gulgasht Multan,57105,Domestic
MTR-48129457,Khalid Lodhi,"286-15 Gulgasht, Multan",6349,Domestic
MTR-45472873,Sajid Chaudhry,"House 109, Street 32, Chaklala Scheme 3, Rawalpindi",23894,Domestic
MTR-64653981,K.Sial,مکان 186 گلی 15 Madina Town Faisalabad,7005,Domestic
MTR-39022555,Adnan Afridi,"House 306, Street 5, Westridge, Rawalpindi",18196,Domestic
MTR-70195738,Malik Hafsa Durrani,"House No. 275, Gali 18, B-17, Islamabad",18133,Domestic
MTR-44057736,Noor Durrani,"391-12 Wapda Town, Lahore",361012,Domestic
MTR-63566592,Sardar Owais Janjua,"House No. 291, Gali 6, F-8/3, Islamabad",12692,Domestic
MTR-78601597,B. Rajput,H#136 St-34 PeoplesColony Faisalabad,9690,Domestic
MTR-47344670,Madiha Niazi,"House 225, Street 34, Gulshan-e-Iqbal, Karachi",35679,Domestic
MTR-38617102,Mahnoor Zaidi,"4-5 Bahria Phase 4, Rawalpindi",6991,Domestic
MTR-91296702,فاطمہ Janjua,"110-35 Model Town, Lahore",8362,Domestic
MTR-66157785,U. Qureshi,H#221 St-23 B-17 Islamabad,32533,Domestic
MTR-37586308,Sardar Imran Warraich,"House No. 56, Gali 16, Shah Rukn-e-Alam, Multan",50260,Domestic
MTR-42502527,Waseem Khokhar,"House 227, Street 36, Satellite Town, Rawalpindi",15198,Domestic
MTR-17244245,J.Tarar,مکان 110 گلی 26 North Nazimabad کراچی,16909,Domestic
MTR-90213329,Ubaid Mirza,"80-13 North Nazimabad, Karachi",246344,Domestic
MTR-15998983,عمران شیخ,"258-34 Madina Town, Faisalabad",14750,Commercial
MTR-15591248,I.Chaudhry,مکان 207 گلی 8 Cantt Multan,37352,Domestic
MTR-35975112,Syed Nadeem Dar,"House No. 161, Gali 16, Gulgasht, Multan",201216,Domestic
MTR-61002447,Faisal Khan,"House 38, Street 35, Clifton Block 2, Karachi",8435,Commercial
MTR-90490408,Y. Sandhu,H#225 St-35 JoharTown Lahore,322885,Commercial
MTR-39416977,Haji Bushra Qureshi,"House No. 60, Gali 7, Chaklala Scheme 3, Rawalpindi",324925,Commercial
MTR-28906449,Usman Khan,"House 327, Street 17, Johar Town, Lahore",26450,Commercial
MTR-46287573,Javeria Abbasi,"House 190, Street 38, Peoples Colony, Faisalabad",37453,Commercial
MTR-23115897,عثمان Gill,"342-7 Bahria Phase 4, Rawalpindi",412975,Domestic
MTR-87124734,Saad Tarar,"House 378, Street 22, F-8/3, Islamabad",7418,Domestic
MTR-70995860,Khalid بٹ,"114-13 University Town, Peshawar",18787,Commercial
MTR-86205634,N.Cheema,مکان 396 گلی 18 DHA Phase 5 لاہور,14669,Domestic
MTR-27236582,B.Malik,مکان 92 گلی 38 I-8/4 اسلام آباد,186194,Domestic
