vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
RIR-9236,Tooba Siddiqui,2000,Hyundai Tucson,2018,"141-16 B-17, Islamabad"
KAR-6997,Tooba Siddiqui,3300,Toyota Land Cruiser ZX,2018,"141-16 B-17, Islamabad"
LEA-6748,Tooba Siddiqui,2000,Hyundai Tucson,2018,"141-16 B-17, Islamabad"
RIR-1788,Shoaib Joiya,70,Honda CD-70,2021,"House 4, Street 11, Madina Town, Faisalabad"
RIR-6380,A. Raja,2700,Toyota Fortuner,2022,H#184 St-23 CliftonBlock2 Karachi
LEA-9568,A. Raja,3300,Toyota Land Cruiser ZX,2026,H#184 St-23 CliftonBlock2 Karachi
ICT-2959,A. Raja,2000,Hyundai Tucson,2020,H#184 St-23 CliftonBlock2 Karachi
ICT-7805,Zubair Raja,70,Honda CD-70,2023,"House 52, Street 25, Hayatabad Phase 3, Peshawar"
AFR-3857,Haji Sajid Chaudhry,800,Suzuki Mehran,2022,"House No. 109, Gali 32, Chaklala Scheme 3, Rawalpindi"
KAR-1554,H.Durrani,1200,Honda City,2024,مکان 275 گلی 18 B-17 اسلام آباد
RIR-8331,Noor Durrani,2700,Toyota Fortuner,2022,"House 391, Street 12, Wapda Town, Lahore"
AFR-5902,Noor Durrani,2000,Hyundai Tucson,2020,"House 391, Street 12, Wapda Town, Lahore"
LEA-3381,Adnan Sandhu,1300,Toyota Corolla GLi,2019,"277-34 Hayatabad Phase 3, Peshawar"
ICT-1388,Owais Janjua,1200,Honda City,2026,"291-6 F-8/3, Islamabad"
AFR-3146,Madiha Niazi,1000,Suzuki Cultus,2021,"225-34 Gulshan-e-Iqbal, Karachi"
RIR-8038,Mahnoor Zaidi,660,Suzuki Alto,2021,"House 4, Street 5, Bahria Phase 4, Rawalpindi"
LEA-241,Umar قریشی,70,Honda CD-70,2025,"221-23 B-17, Islamabad"
RIR-5073,Chaudhary Ubaid Mirza,3300,Toyota Land Cruiser ZX,2025,"House No. 80, Gali 13, North Nazimabad, Karachi"
ICT-4937,I. Sheikh,1300,Toyota Corolla GLi,2022,H#258 St-34 MadinaTown Faisalabad
LEA-2361,Nadeem Dar,2000,Audi e-tron,2017,"161-16 Gulgasht, Multan"
KAR-4504,Y.Sandhu,2700,Toyota Fortuner,2021,مکان 225 گلی 35 Johar Town لاہور
RIR-2501,Y.Sandhu,2000,Mercedes C200,2018,مکان 225 گلی 35 Johar Town لاہور
ICT-7924,Y.Sandhu,2700,Toyota Fortuner,2022,مکان 225 گلی 35 Johar Town لاہور
AFR-182,Bushra Qureshi,3300,Toyota Land Cruiser ZX,2018,"House 60, Street 7, Chaklala Scheme 3, Rawalpindi"
RIR-6578,N. Mehsud,3300,Toyota Land Cruiser ZX,2017,H#259 St-32 ShahRukn-e-Alam Multan
AFR-466,N. Mehsud,2000,Mercedes C200,2024,H#259 St-32 ShahRukn-e-Alam Multan
ICT-9317,N. Mehsud,2700,Toyota Prado TX,2026,H#259 St-32 ShahRukn-e-Alam Multan
KAR-8299,Javeria Abbasi,1300,Toyota Corolla GLi,2021,"190-38 Peoples Colony, Faisalabad"
RIR-9155,Chaudhary Usman Gill,2700,Toyota Prado TX,2026,"House No. 342, Gali 7, Bahria Phase 4, Rawalpindi"
KAR-9894,Mian Usman Gill,2700,Toyota Prado TX,2024,"House No. 342, Gali 7, Bahria Phase 4, Rawalpindi"
