fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number
FBR-100000,T. Siddiqui,0,0,Filer,H#141 St-16 B-17 Islamabad,03122719583
FBR-100001,Mahnoor Sial,3599388,263671,Filer,"House 48, Street 14, G-10/2, Islamabad",03181445199
FBR-100003,Asad Raja,15882696,1231332,Filer,"House 184, Street 23, Clifton Block 2, Karachi",03441728977
FBR-100004,Khalid راجہ,2393808,82093,Filer,"322-40 Madina Town, Faisalabad",0309-6828339
FBR-100005,Z.Raja,2278104,142047,Filer,مکان 52 گلی 25 Hayatabad Phase 3 Peshawar,0327-7120868
FBR-100006,F.Lodhi,3868284,242890,Filer,مکان 332 گلی 5 Gulgasht Multan,03429961380
FBR-100007,Khalid Lodhi,615480,40838,Filer,"House 286, Street 15, Gulgasht, Multan",0320-4842788
FBR-100008,Sajid چوہدری,2613024,170368,Filer,"109-32 Chaklala Scheme 3, Rawalpindi",+92 337 3396987
FBR-100009,Khadija Sial,386220,17900,Filer,"186-15 Madina Town, Faisalabad",0341-7900000
FBR-100010,A.Afridi,1032228,41883,Filer,مکان 306 گلی 5 Westridge راولپنڈی,+92 317 8711923
FBR-100011,Hafsa Durrani,980412,65882,Filer,"275-18 B-17, Islamabad",+92 321 5924115
FBR-100012,Mian Noor Durrani,19611516,1467901,Filer,"House No. 391, Gali 12, Wapda Town, Lahore",03295573720
FBR-100013,Sardar Adnan Sandhu,3243672,140604,Filer,"House No. 277, Gali 34, Hayatabad Phase 3, Peshawar",+92 309 6438436
FBR-100014,Owais Janjua,400968,24436,Filer,"House 291, Street 6, F-8/3, Islamabad",03072161193
FBR-100016,Malik Madiha Niazi,1092336,75476,Filer,"House No. 225, Gali 34, Gulshan-e-Iqbal, Karachi",0331-5159166
FBR-100017,M. Zaidi,355716,12499,Filer,H#4 St-5 BahriaPhase4 Rawalpindi,0303-2130789
FBR-100019,U.Qureshi,1579188,42141,Filer,مکان 221 گلی 23 B-17 اسلام آباد,03368835373
FBR-100020,Imran Warraich,2114400,161826,Filer,"House 56, Street 16, Shah Rukn-e-Alam, Multan",+92 306 8729524
FBR-100021,W. Khokhar,485892,15057,Filer,H#227 St-36 SatelliteTown Rawalpindi,0300-1247595
FBR-100022,Junaid Tarar,508560,19051,Filer,"House 110, Street 26, North Nazimabad, Karachi",0302-7358113
FBR-100023,U.Mirza,0,0,Non-Filer,مکان 80 گلی 13 North Nazimabad کراچی,03231981186
FBR-100025,Haji Iqra Chaudhry,2950416,220756,Filer,"House No. 207, Gali 8, Cantt, Multan",+92 334 8569127
FBR-100026,N.Dar,0,0,Non-Filer,مکان 161 گلی 16 Gulgasht Multan,03037532256
FBR-100027,Sardar Faisal Khan,354096,20878,Filer,"House No. 38, Gali 35, Clifton Block 2, Karachi",03469870458
FBR-100028,Syed Yasir Sandhu,0,0,Non-Filer,"House No. 225, Gali 35, Johar Town, Lahore",0329-9874152
FBR-100029,B.Qureshi,0,0,Non-Filer,مکان 60 گلی 7 Chaklala Scheme 3 راولپنڈی,0304-1136007
FBR-100030,Haji Noman Mehsud,23525760,898390,Filer,"House No. 259, Gali 32, Shah Rukn-e-Alam, Multan",03269014350
FBR-100031,U. Khan,1433388,94613,Filer,H#327 St-17 JoharTown Lahore,03178175395
FBR-100032,J.Abbasi,3254184,124954,Filer,مکان 190 گلی 38 Peoples Colony Faisalabad,0328-9116089
FBR-100033,U.Gill,0,0,Non-Filer,مکان 342 گلی 7 Bahria Phase 4 راولپنڈی,03287817881
FBR-100034,Saad Tarar,385008,25967,Filer,"378-22 F-8/3, Islamabad",0333-5476257
FBR-100035,K. Butt,2175060,97237,Filer,H#114 St-13 UniversityTown Peshawar,0335-6120253
FBR-100037,Sardar Babar Malik,46268868,2035337,Filer,"House No. 92, Gali 38, I-8/4, Islamabad",03338899980
FBR-100038,Chaudhary Saqib Sial,0,0,Non-Filer,"House No. 60, Gali 25, D Ground, Faisalabad",0343-5273534
FBR-100039,Ibrahim Sial,3529380,87671,Filer,"House 170, Street 40, B-17, Islamabad",0349-2675054
FBR-100040,Atif Warraich,0,0,Non-Filer,"House 284, Street 9, Shah Rukn-e-Alam, Multan",03167361002
FBR-100041,N. Zaidi,43605432,2577215,Filer,H#156 St-19 HayatabadPhase3 Peshawar,+92 316 6406444
FBR-100042,Chaudhary Rehan Kazmi,484704,38291,Filer,"House No. 338, Gali 6, DHA Phase 6, Karachi",0328-6623525
FBR-100043,Gul Niazi,357264,20640,Filer,"76-2 Bahria Phase 4, Rawalpindi",0314-4384236
FBR-100044,Ubaid Tarar,0,0,Non-Filer,"House 100, Street 25, Gulgasht, Multan",0336-5093379
FBR-100045,Qasim Gondal,825000,62538,Filer,"House 26, Street 36, Westridge, Rawalpindi",0311-8658158
FBR-100046,Hina Zaidi,17610672,1164037,Filer,"House 387, Street 29, Madina Town, Faisalabad",03488159521
FBR-100047,Yousuf Joiya,45513888,1215028,Filer,"327-18 Johar Town, Lahore",+92 347 5013879
FBR-100048,Irfan Janjua,1921356,96830,Filer,"164-35 Gulberg III, Lahore",0302-3530518
FBR-100051,Pervez Rizvi,11060856,397790,Filer,"280-39 Gulgasht, Multan",+92 317 4681284
FBR-100052,Syed Luqman Cheema,765480,44175,Filer,"House No. 208, Gali 11, Gulgasht, Multan",0332-9961107
FBR-100053,R.Wazir,3019524,212511,Filer,مکان 330 گلی 28 G-10/2 اسلام آباد,0317-4048907
FBR-100054,Rana Rehan Khokhar,47299620,3282430,Filer,"House No. 390, Gali 25, Gulberg III, Lahore",0326-5232413
FBR-100055,Z.Sheikh,788628,54319,Filer,مکان 333 گلی 5 Johar Town لاہور,0300-5148725
FBR-100057,Junaid Shirazi,2922660,237261,Filer,"368-8 D Ground, Faisalabad",03142813596
FBR-100058,A.Mehsud,0,0,Non-Filer,مکان 367 گلی 13 North Nazimabad کراچی,0309-1636561
FBR-100059,R.Butt,685500,40638,Filer,مکان 220 گلی 24 Wapda Town لاہور,+92 306 6105675
FBR-100060,Asad Sial,4001892,236130,Filer,"House 363, Street 10, Model Town, Lahore",03329753457
FBR-100061,Wajahat Sial,491772,25610,Filer,"House 304, Street 18, Gulbahar, Peshawar",+92 323 2453962
FBR-100062,W. Gilani,27458916,2455136,Filer,H#195 St-22 DGround Faisalabad,0307-6452832
FBR-100063,Nadeem Cheema,3517020,144247,Filer,"House 360, Street 18, Wapda Town, Lahore",0340-9667566
FBR-100064,Mustafa Zaidi,3504264,231437,Filer,"354-31 Hayatabad Phase 3, Peshawar",0337-1289293
FBR-100066,B.Gill,1712172,42538,Filer,مکان 139 گلی 20 Shah Rukn-e-Alam Multan,03233024269
FBR-100067,Maryam Tareen,1592448,100764,Filer,"House 99, Street 14, Cantt, Multan",03349801946
FBR-100068,Umar Mirza,1303044,53466,Filer,"92-20 Chaklala Scheme 3, Rawalpindi",+92 308 3123709
FBR-100069,Haji Sadia Mirza,26748288,605089,Filer,"House No. 327, Gali 32, Cantt, Multan",+92 300 5712700
FBR-100070,Syed Talha Sheikh,0,0,Non-Filer,"House No. 59, Gali 5, Model Town, Lahore",03372242892
FBR-100071,Adnan Gilani,3745356,109598,Filer,"House 128, Street 8, DHA Phase 5, Lahore",03464786401
FBR-100072,Mubashir Bukhari,0,0,Non-Filer,"House 292, Street 40, Gulshan-e-Iqbal, Karachi",0309-2664863
FBR-100073,Waqas Janjua,2772588,89378,Filer,"81-1 Satellite Town, Rawalpindi",03175362692
FBR-100074,L. Mirza,2374368,148041,Filer,H#37 St-15 ShahRukn-e-Alam Multan,+92 329 4318855
FBR-100075,Mian Uzma Abbasi,2873172,126790,Filer,"House No. 37, Gali 4, Johar Town, Lahore",+92 314 5842082
FBR-100076,Kinza Warraich,834768,72977,Filer,"House 277, Street 32, Wapda Town, Lahore",+92 331 1668752
FBR-100077,Rana Hassan Raja,31858128,1836418,Filer,"House No. 392, Gali 18, Satellite Town, Rawalpindi",+92 340 3939212
FBR-100079,Waqas Cheema,2993856,121850,Filer,"148-26 North Nazimabad, Karachi",0340-8630712
FBR-100080,F. Kakar,40938180,3218630,Filer,H#337 St-35 CliftonBlock2 Karachi,0336-1909393
FBR-100081,A. Afridi,681192,47122,Filer,H#105 St-18 CliftonBlock2 Karachi,0325-4037459
FBR-100082,Haji Hamza Malik,20909544,419013,Filer,"House No. 123, Gali 11, Gulgasht, Multan",03281229419
FBR-100083,F.Khokhar,671364,59493,Filer,مکان 79 گلی 32 B-17 اسلام آباد,+92 324 6245110
FBR-100084,Yasir Khokhar,3570588,216312,Filer,"House 197, Street 13, Peoples Colony, Faisalabad",+92 319 9652424
FBR-100085,Ehsan Kazmi,33977700,1198246,Filer,"145-20 DHA Phase 5, Lahore",0349-9214801
FBR-100088,Z. Joiya,22939032,1131977,Filer,H#234 St-1 G-13/1 Islamabad,0316-3589751
FBR-100089,E. Yousafzai,0,0,Non-Filer,H#333 St-6 ShahRukn-e-Alam Multan,03322239596
FBR-100090,زینب بٹ,379032,30598,Filer,"121-19 Peoples Colony, Faisalabad",03029622635
FBR-100091,Sufyan Mughal,1875840,37688,Filer,"House 15, Street 3, Shah Rukn-e-Alam, Multan",+92 320 5921894
FBR-100092,Syed Yasir Naqvi,0,0,Non-Filer,"House No. 88, Gali 12, DHA Phase 6, Karachi",03097418028
FBR-100093,D. Khokhar,13317588,371699,Filer,H#236 St-17 ShahRukn-e-Alam Multan,03075825658
FBR-100094,Sufyan Gill,680004,29660,Filer,"328-28 Madina Town, Faisalabad",0327-6068760
FBR-100096,Laiba Saddozai,2536800,125067,Filer,"House 398, Street 15, Gulshan-e-Iqbal, Karachi",03454674286
FBR-100097,Syed Gul Tareen,3255504,128927,Filer,"House No. 349, Gali 9, Gulgasht, Multan",+92 300 6183033
FBR-100098,R. Awan,587712,32465,Filer,H#168 St-27 I-8/4 Islamabad,03133217273
FBR-100099,Malik Hina Kazmi,410688,23045,Filer,"House No. 132, Gali 31, Johar Town, Lahore",+92 325 2932227
FBR-100100,Shoaib Mehsud,1737552,89424,Filer,"House 204, Street 36, Gulgasht, Multan",0313-1886802
FBR-100102,N. Zaidi,1194108,51515,Filer,H#114 St-5 WapdaTown Lahore,0334-7850067
FBR-100103,Mubashir Hashmi,944424,45314,Filer,"House 121, Street 35, G-10/2, Islamabad",+92 316 8610879
FBR-100104,Malik Mahnoor Saddozai,3291168,224712,Filer,"House No. 213, Gali 7, Cantt, Multan",+92 339 7847048
FBR-100105,Rehan Joiya,2154168,53201,Filer,"186-7 DHA Phase 6, Karachi",0328-7017548
FBR-100106,H. Khokhar,744000,23883,Filer,H#109 St-39 B-17 Islamabad,0300-6595355
