source,record_id,person_id
fbr,FBR-100000,0
excise,RIR-9236,0
excise,KAR-6997,0
excise,LEA-6748,0
disco,MTR-41309099,0
property,REG-681811,0
property,REG-109098,0
banking,PK53-3670449118,0
banking,PK45-9727847913,0
banking,PK34-4975976994,0
banking,PK70-7136616347,0
travel,TRP-5928043,0
travel,TRP-3864474,0
travel,TRP-4100890,0
fbr,FBR-100001,1
disco,MTR-14136232,1
banking,PK57-9621386065,1
excise,RIR-1788,2
disco,MTR-93348828,2
banking,PK14-6669008912,2
fbr,FBR-100003,3
excise,RIR-6380,3
excise,LEA-9568,3
excise,ICT-2959,3
disco,MTR-68087047,3
property,REG-663357,3
banking,PK89-4406121844,3
travel,TRP-3980886,3
travel,TRP-9680402,3
travel,TRP-9838407,3
travel,TRP-5831336,3
fbr,FBR-100004,4
disco,MTR-80204163,4
fbr,FBR-100005,5
excise,ICT-7805,5
disco,MTR-71459213,5
banking,PK85-6756213770,5
fbr,FBR-100006,6
disco,MTR-12986213,6
banking,PK66-4900624904,6
travel,TRP-9060352,6
fbr,FBR-100007,7
disco,MTR-48129457,7
fbr,FBR-100008,8
excise,AFR-3857,8
disco,MTR-45472873,8
banking,PK99-2914278120,8
fbr,FBR-100009,9
disco,MTR-64653981,9
banking,PK38-9671304166,9
fbr,FBR-100010,10
disco,MTR-39022555,10
banking,PK64-6221099461,10
fbr,FBR-100011,11
excise,KAR-1554,11
disco,MTR-70195738,11
banking,PK69-2838278841,11
fbr,FBR-100012,12
excise,RIR-8331,12
excise,AFR-5902,12
disco,MTR-44057736,12
property,REG-598408,12
banking,PK63-7301773105,12
travel,TRP-2275594,12
travel,TRP-1976246,12
travel,TRP-7251201,12
fbr,FBR-100013,13
excise,LEA-3381,13
banking,PK95-4275735718,13
fbr,FBR-100014,14
excise,ICT-1388,14
disco,MTR-63566592,14
banking,PK50-3157716066,14
disco,MTR-78601597,15
banking,PK84-7062813381,15
fbr,FBR-100016,16
excise,AFR-3146,16
