account_no,holder_name,holder_address,bank_name,account_type,opened_date,avg_monthly_deposit_pkr
PK53-3670449118,Tooba Siddiqui,"House No. 141, Gali 16, B-17, Islamabad",Allied Bank,Foreign Currency,2019-07-10,7381383
PK45-9727847913,Tooba Siddiqui,H#141 St-16 B-17 Islamabad,UBL,Foreign Currency,2023-06-04,6481784
PK34-4975976994,T.Siddiqui,مکان 141 گلی 16 B-17 اسلام آباد,UBL,Savings,2020-06-02,6535583
PK70-7136616347,Tooba Siddiqui,مکان 141 گلی 16 B-17 اسلام آباد,UBL,Foreign Currency,2025-05-14,6415198
PK57-9621386065,Mahnoor Sial,مکان 48 گلی 14 G-10/2 اسلام آباد,UBL,Current,2025-06-30,305465
PK14-6669008912,S. Joiya,"House No. 4, Gali 11, Madina Town, Faisalabad",Allied Bank,Current,2025-09-04,178571
PK89-4406121844,Malik Asad Raja,"House No. 184, Gali 23, Clifton Block 2, Karachi",MCB,Savings,2018-01-10,936252
PK85-6756213770,Z. Raja,مکان 52 گلی 25 Hayatabad Phase 3 Peshawar,Bank Alfalah,Savings,2024-11-05,186237
PK66-4900624904,Farah Lodhi,"House 332, Street 5, Gulgasht, Multan",Meezan Bank,Savings,2023-01-10,235459
PK99-2914278120,Chaudhary Sajid Chaudhry,H#109 St-32 ChaklalaScheme3 Rawalpindi,Allied Bank,Current,2025-08-27,182000
PK38-9671304166,Khadija Sial,"House 186, Street 15, Madina Town, Faisalabad",UBL,Savings,2022-12-05,27552
PK64-6221099461,Rana Adnan Afridi,"House No. 306, Gali 5, Westridge, Rawalpindi",Meezan Bank,Savings,2022-07-09,92270
PK69-2838278841,H.Durrani,H#275 St-18 B-17 Islamabad,Askari Bank,Savings,2022-05-27,84412
PK63-7301773105,Noor Durrani,"House No. 391, Gali 12, Wapda Town, Lahore",JS Bank,Savings,2020-03-29,4826686
PK95-4275735718,Adnan Sandhu,"House No. 277, Gali 34, Hayatabad Phase 3, Peshawar",JS Bank,Current,2024-05-26,254565
PK50-3157716066,O.Janjua,"House No. 291, Gali 6, F-8/3, Islamabad",Askari Bank,Foreign Currency,2018-11-10,21749
PK84-7062813381,B.Rajput,H#136 St-34 PeoplesColony Faisalabad,HBL,Savings,2019-06-30,31720
PK89-5805756498,Umar قریشی,"House No. 221, Gali 23, B-17, Islamabad",HBL,Savings,2025-12-01,92779
PK83-9983782476,Imran Warraich,"House 56, Street 16, Shah Rukn-e-Alam, Multan",Meezan Bank,Current,2020-11-23,172870
PK17-3733524381,U. Mirza,"House No. 80, Gali 13, North Nazimabad, Karachi",MCB,Current,2022-07-15,1344865
PK28-1540933236,Ubaid Mirza,مکان 80 گلی 13 North Nazimabad کراچی,Askari Bank,Savings,2025-04-17,5692495
PK84-7464181146,I.Chaudhry,مکان 207 گلی 8 Cantt Multan,Bank Alfalah,Savings,2018-05-25,209316
PK75-1071624258,Chaudhary Nadeem Dar,"House No. 161, Gali 16, Gulgasht, Multan",Allied Bank,Savings,2024-04-13,2997838
PK82-6539856155,Nadeem Dar,"House 161, Street 16, Gulgasht, Multan",Bank Alfalah,Foreign Currency,2024-04-26,2613383
PK94-4804937484,Faisal خان,"House 38, Street 35, Clifton Block 2, Karachi",UBL,Savings,2019-09-24,20165
PK97-4988068944,Y.Sandhu,مکان 225 گلی 35 Johar Town لاہور,UBL,Current,2024-12-02,4436087
PK73-7117754787,Malik Yasir Sandhu,"House No. 225, Gali 35, Johar Town, Lahore",Askari Bank,Savings,2021-07-27,6391026
PK55-7166844130,Yasir Sandhu,مکان 225 گلی 35 Johar Town لاہور,Askari Bank,Savings,2018-02-02,1803488
PK16-6182070900,Yasir Sandhu,"House 225, Street 35, Johar Town, Lahore",UBL,Foreign Currency,2020-02-25,7985913
PK63-4782797552,Malik Bushra Qureshi,H#60 St-7 ChaklalaScheme3 Rawalpindi,Askari Bank,Current,2024-11-24,3486446
PK72-8970566223,B.Qureshi,H#60 St-7 ChaklalaScheme3 Rawalpindi,JS Bank,Savings,2018-07-16,4869331
PK52-4218591807,B.Qureshi,"House No. 60, Gali 7, Chaklala Scheme 3, Rawalpindi",UBL,Current,2024-09-20,6477494
PK53-5725796546,Syed Noman Mehsud,H#259 St-32 ShahRukn-e-Alam Multan,Meezan Bank,Savings,2025-06-08,2185893
PK44-7184644643,N.Mehsud,"House No. 259, Gali 32, Shah Rukn-e-Alam, Multan",Askari Bank,Savings,2024-07-13,4791876
PK69-3004122832,Usman Khan,"House 327, Street 17, Johar Town, Lahore",UBL,Current,2021-09-26,93166
PK37-6591839941,Usman Gill,"House No. 342, Gali 7, Bahria Phase 4, Rawalpindi",HBL,Foreign Currency,2019-02-21,3199308
PK61-4076559327,Rana Usman Gill,مکان 342 گلی 7 Bahria Phase 4 راولپنڈی,JS Bank,Savings,2021-04-06,3310763
PK77-6637578747,Saad Tarar,مکان 378 گلی 22 F-8/3 اسلام آباد,MCB,Current,2022-02-04,28833
PK37-1031359041,Malik Khalid Butt,"House 114, Street 13, University Town, Peshawar",JS Bank,Savings,2019-11-07,116490
PK35-9637195933,Nasir Cheema,مکان 396 گلی 18 DHA Phase 5 لاہور,Meezan Bank,Savings,2025-01-19,65050
PK52-9010744717,B.Malik,"House No. 92, Gali 38, I-8/4, Islamabad",JS Bank,Savings,2025-01-21,2031000
PK58-9223632105,B. Malik,H#92 St-38 I-8/4 Islamabad,Allied Bank,Savings,2021-02-21,3088818
PK71-9872029928,S.Sial,H#60 St-25 DGround Faisalabad,UBL,Foreign Currency,2019-08-27,6687875
PK46-9801787009,Chaudhary Saqib Sial,مکان 60 گلی 25 D Ground Faisalabad,Meezan Bank,Current,2020-07-15,1550615
PK30-7015555598,Saqib Sial,"House No. 60, Gali 25, D Ground, Faisalabad",UBL,Current,2022-07-02,6831157
PK60-4129422632,Malik Ibrahim Sial,مکان 170 گلی 40 B-17 اسلام آباد,MCB,Savings,2019-04-09,213081
PK41-1813459680,Atif Warraich,مکان 284 گلی 9 Shah Rukn-e-Alam Multan,HBL,Savings,2021-10-20,5755683
PK87-2949038093,A.Warraich,مکان 284 گلی 9 Shah Rukn-e-Alam Multan,JS Bank,Current,2020-02-27,7978214
PK85-4444532908,Nasir Zaidi,"House 156, Street 19, Hayatabad Phase 3, Peshawar",Allied Bank,Foreign Currency,2018-03-22,1162297
PK47-5991602131,Nasir Zaidi,مکان 156 گلی 19 Hayatabad Phase 3 Peshawar,Allied Bank,Savings,2023-05-10,3659719
PK15-8840095562,R. Kazmi,مکان 338 گلی 6 DHA Phase 6 کراچی,JS Bank,Savings,2022-12-24,31800
PK49-4884859229,Ubaid Tarar,"House No. 100, Gali 25, Gulgasht, Multan",Meezan Bank,Foreign Currency,2022-08-08,4136543
PK48-5168793922,Mian Ubaid Tarar,"House 100, Street 25, Gulgasht, Multan",JS Bank,Foreign Currency,2024-03-05,7576454
PK91-9420649582,Ubaid Tarar,H#100 St-25 Gulgasht Multan,HBL,Savings,2024-08-14,5646247
PK99-1177500057,Qasim Gondal,"House No. 26, Gali 36, Westridge, Rawalpindi",UBL,Savings,2018-03-28,52393
PK78-6762361623,Hina Zaidi,H#387 St-29 MadinaTown Faisalabad,Meezan Bank,Current,2024-06-04,4837281
PK82-4906234933,Syed Yousuf Joiya,"House No. 327, Gali 18, Johar Town, Lahore",Allied Bank,Current,2018-11-13,2053212
PK96-2426306018,P.Rizvi,H#280 St-39 Gulgasht Multan,UBL,Current,2023-02-28,1641006
PK71-2515744164,Luqman Cheema,H#208 St-11 Gulgasht Multan,MCB,Foreign Currency,2019-11-01,60394
PK52-2961398180,R. Khokhar,"House 390, Street 25, Gulberg III, Lahore",Meezan Bank,Savings,2018-03-22,2665895
PK39-6485679107,R. Khokhar,H#390 St-25 GulbergIII Lahore,HBL,Savings,2020-07-31,4838291
PK72-9913636459,Zainab Sheikh,H#333 St-5 JoharTown Lahore,Allied Bank,Current,2021-12-01,66135
PK25-6980019840,A. Janjua,H#343 St-8 Westridge Rawalpindi,MCB,Savings,2022-08-05,231873
PK24-7477910927,Amna Mehsud,"House 367, Street 13, North Nazimabad, Karachi",Allied Bank,Foreign Currency,2024-09-06,5587264
PK54-3695996121,Amna Mehsud,مکان 367 گلی 13 North Nazimabad کراچی,MCB,Foreign Currency,2023-05-15,1583744
PK77-1147209338,A.Mehsud,H#367 St-13 NorthNazimabad Karachi,JS Bank,Savings,2018-01-08,2677210
PK91-9009262915,A.Mehsud,H#367 St-13 NorthNazimabad Karachi,Meezan Bank,Foreign Currency,2020-05-13,7273372
PK54-7135456306,R. Butt,H#220 St-24 WapdaTown Lahore,JS Bank,Foreign Currency,2023-05-29,49391
PK43-3855235648,A. Sial,"House No. 363, Gali 10, Model Town, Lahore",Bank Alfalah,Savings,2021-08-08,217352
PK43-3701677843,Wajahat Gilani,"House 195, Street 22, D Ground, Faisalabad",Allied Bank,Current,2022-08-18,1164735
PK65-9776527376,Wajahat Gilani,H#195 St-22 DGround Faisalabad,Meezan Bank,Savings,2023-06-22,4176808
PK25-9246709525,Nadeem Cheema,H#360 St-18 WapdaTown Lahore,Askari Bank,Current,2022-04-19,261894
PK38-2124566911,Chaudhary Mustafa Zaidi,H#354 St-31 HayatabadPhase3 Peshawar,UBL,Current,2019-03-31,316671
PK50-5453761971,Sadia Mirza,"House 327, Street 32, Cantt, Multan",JS Bank,Current,2024-06-08,4830487
PK58-8979287418,T. Sheikh,H#59 St-5 ModelTown Lahore,JS Bank,Foreign Currency,2024-03-16,5612845
PK94-5692203566,Talha Sheikh,H#59 St-5 ModelTown Lahore,Bank Alfalah,Savings,2019-05-25,5002010
PK71-6972224708,Talha Sheikh,مکان 59 گلی 5 Model Town لاہور,Allied Bank,Current,2023-05-11,7618175
PK93-5530161660,Adnan Gilani,H#128 St-8 DHAPhase5 Lahore,Askari Bank,Current,2018-01-30,206953
PK37-4224029675,Mubashir Bukhari,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی,UBL,Foreign Currency,2022-04-24,4644871
PK91-1124793561,M. Bukhari,مکان 292 گلی 40 Gulshan-e-Iqbal کراچی,UBL,Foreign Currency,2024-10-24,1729577
PK48-5129327659,W.Janjua,مکان 81 گلی 1 Satellite Town راولپنڈی,UBL,Current,2021-06-20,168349
PK22-3955347415,Lubna Mirza,"House No. 37, Gali 15, Shah Rukn-e-Alam, Multan",Askari Bank,Savings,2023-04-01,153970
PK27-7490882544,K. Warraich,H#277 St-32 WapdaTown Lahore,UBL,Current,2023-04-17,5886039
PK76-3253844196,Kinza Warraich,H#277 St-32 WapdaTown Lahore,JS Bank,Savings,2022-10-15,6929015
PK47-7634730493,K. Warraich,H#277 St-32 WapdaTown Lahore,HBL,Foreign Currency,2019-07-02,4162368
PK18-7945746933,Kinza Warraich,"House No. 277, Gali 32, Wapda Town, Lahore",MCB,Foreign Currency,2020-11-03,1255226
PK35-9571743769,Sardar Hassan Raja,H#392 St-18 SatelliteTown Rawalpindi,UBL,Foreign Currency,2024-06-05,3103998
PK52-3372192211,Waseem Ansari,"House No. 326, Gali 32, Madina Town, Faisalabad",UBL,Foreign Currency,2022-07-26,134083
PK69-3311993357,F.Kakar,"House 337, Street 35, Clifton Block 2, Karachi",Meezan Bank,Current,2022-12-29,2323177
PK78-3523555561,F. Kakar,"House 337, Street 35, Clifton Block 2, Karachi",Bank Alfalah,Savings,2023-12-26,3118278
PK97-7424592713,H.Malik,"House 123, Street 11, Gulgasht, Multan",UBL,Savings,2024-06-01,858992
PK64-5876667885,Mian Fahad Khokhar,H#79 St-32 B-17 Islamabad,Bank Alfalah,Foreign Currency,2021-12-23,56739
PK74-8967473739,Y.Khokhar,H#197 St-13 PeoplesColony Faisalabad,JS Bank,Savings,2022-09-03,242382
PK34-2460579054,Ehsan Kazmi,"House 145, Street 20, DHA Phase 5, Lahore",MCB,Savings,2018-12-23,2782197
PK34-6622834251,Syed Farhan Cheema,"House No. 194, Gali 30, D Ground, Faisalabad",JS Bank,Foreign Currency,2019-04-01,214356
PK96-8831789409,Zeeshan Joiya,"House 234, Street 1, G-13/1, Islamabad",MCB,Savings,2022-06-28,3004970
PK16-6650272287,Ehsan Yousafzai,مکان 333 گلی 6 Shah Rukn-e-Alam Multan,JS Bank,Savings,2024-02-21,5008679
PK17-2718971996,E. Yousafzai,H#333 St-6 ShahRukn-e-Alam Multan,HBL,Current,2019-11-17,2418808
PK34-4855020873,S. Mughal,"House No. 15, Gali 3, Shah Rukn-e-Alam, Multan",MCB,Savings,2020-09-02,139330
PK38-6261057489,Yasir Naqvi,مکان 88 گلی 12 DHA Phase 6 کراچی,JS Bank,Savings,2025-04-08,3590596
PK62-9947436896,Yasir Naqvi,"House No. 88, Gali 12, DHA Phase 6, Karachi",UBL,Current,2018-05-24,3663489
PK10-6670347401,D.Khokhar,"House 236, Street 17, Shah Rukn-e-Alam, Multan",JS Bank,Savings,2024-09-18,3960190
PK41-2362956048,S.Gill,"House 328, Street 28, Madina Town, Faisalabad",UBL,Current,2019-01-06,41322
PK52-4548649570,Laiba Saddozai,مکان 398 گلی 15 Gulshan-e-Iqbal کراچی,UBL,Savings,2018-09-21,162243
PK88-5225050022,R.Awan,"House 168, Street 27, I-8/4, Islamabad",Allied Bank,Foreign Currency,2020-01-16,29490
PK56-8745189396,H. Kazmi,H#132 St-31 JoharTown Lahore,Meezan Bank,Current,2023-03-22,35714
PK63-4463822274,S. Mehsud,"House 204, Street 36, Gulgasht, Multan",Meezan Bank,Current,2023-07-07,150177
PK79-6932319349,Ubaid Sandhu,"House No. 345, Gali 17, Gulgasht, Multan",Bank Alfalah,Foreign Currency,2024-08-10,5589855
PK87-2332136758,Ubaid Sandhu,H#345 St-17 Gulgasht Multan,Bank Alfalah,Foreign Currency,2018-05-28,7195768
PK29-1190937149,Ubaid Sandhu,H#345 St-17 Gulgasht Multan,MCB,Foreign Currency,2019-01-09,3954303
PK31-1072029093,U.Sandhu,مکان 345 گلی 17 Gulgasht Multan,Bank Alfalah,Savings,2022-12-18,7849392
PK62-5461085968,Nimra Zaidi,"House 114, Street 5, Wapda Town, Lahore",Askari Bank,Foreign Currency,2024-04-04,76510
PK30-7936200936,Syed Mubashir Hashmi,"House No. 121, Gali 35, G-10/2, Islamabad",MCB,Foreign Currency,2021-01-29,4750399
PK72-2772019437,Mubashir Hashmi,H#121 St-35 G-10/2 Islamabad,HBL,Current,2019-06-12,1466537
PK16-5102618056,Mubashir Hashmi,"House 121, Street 35, G-10/2, Islamabad",Meezan Bank,Foreign Currency,2019-01-09,7226466
PK58-1961409737,Haji Mubashir Hashmi,"House 121, Street 35, G-10/2, Islamabad",Allied Bank,Current,2018-06-06,7568688
PK27-6420579726,R. Joiya,"House 186, Street 7, DHA Phase 6, Karachi",MCB,Savings,2018-08-21,180127
PK17-4038268700,Sardar Hamza Khokhar,مکان 109 گلی 39 B-17 اسلام آباد,Bank Alfalah,Current,2019-07-13,55272
PK97-7972504667,N. Chaudhry,مکان 107 گلی 38 Gulbahar Peshawar,Askari Bank,Current,2020-01-31,45299
PK98-3418860540,احمد Gill,مکان 302 گلی 21 Hayatabad Phase 3 Peshawar,Allied Bank,Current,2019-04-04,278932
PK13-4587363131,H.Siddiqui,"House 244, Street 29, Cantt, Multan",UBL,Current,2021-07-16,4108248
PK72-6554048083,عثمان Durrani,H#267 St-20 Gulbahar Peshawar,MCB,Savings,2023-04-02,55306
PK64-8346261022,H. Qureshi,مکان 38 گلی 6 North Nazimabad کراچی,Meezan Bank,Savings,2020-09-12,244351
PK21-1559502902,K.Shirazi,H#233 St-33 MadinaTown Faisalabad,UBL,Foreign Currency,2021-09-25,162965
PK58-1326967312,Rauf Joiya,مکان 174 گلی 30 Westridge راولپنڈی,HBL,Savings,2021-10-31,2462984
PK57-4757039945,Kashif Sandhu,مکان 35 گلی 6 Westridge راولپنڈی,Meezan Bank,Savings,2018-05-01,5688570
PK87-3463536267,K.Sandhu,"House No. 35, Gali 6, Westridge, Rawalpindi",HBL,Current,2018-10-13,7750600
PK84-8521611445,Nadia شیخ,"House No. 288, Gali 22, D Ground, Faisalabad",UBL,Foreign Currency,2020-05-21,39696
PK19-7018661167,Haji Mehwish Mehsud,"House 14, Street 39, Gulgasht, Multan",UBL,Savings,2018-09-05,2200427
PK83-7259814068,Malik Mehwish Mehsud,"House No. 14, Gali 39, Gulgasht, Multan",JS Bank,Savings,2025-07-09,7560649
PK79-8582310827,M. Mehsud,H#14 St-39 Gulgasht Multan,JS Bank,Foreign Currency,2021-04-12,5530034
PK27-7129221148,F.Khan,"House No. 290, Gali 26, Bahria Phase 4, Rawalpindi",Bank Alfalah,Current,2024-09-15,4904759
PK30-3156696866,F.Khan,"House No. 290, Gali 26, Bahria Phase 4, Rawalpindi",JS Bank,Foreign Currency,2024-06-23,5476774
PK10-4463742154,F. Khan,"House No. 290, Gali 26, Bahria Phase 4, Rawalpindi",Allied Bank,Savings,2019-09-03,4136222
PK70-1228520817,Gul راجہ,"House No. 339, Gali 28, Model Town, Lahore",MCB,Savings,2020-10-25,350344
PK51-8833624009,M. Dar,مکان 393 گلی 9 Johar Town لاہور,Allied Bank,Savings,2020-12-13,227714
PK20-4124520973,S. Awan,"House No. 257, Gali 36, DHA Phase 6, Karachi",HBL,Foreign Currency,2022-11-21,70189
PK55-2719880971,U.Chaudhry,"House No. 295, Gali 28, University Town, Peshawar",Meezan Bank,Foreign Currency,2020-07-22,59250
PK95-2681209011,Atif Mughal,"House 236, Street 24, Gulbahar, Peshawar",HBL,Current,2021-05-23,4374256
PK66-9978933612,Hina راجہ,H#382 St-22 Gulshan-e-Iqbal Karachi,JS Bank,Savings,2020-10-02,4569504
PK55-9776319254,H.Raja,"House No. 382, Gali 22, Gulshan-e-Iqbal, Karachi",Meezan Bank,Current,2022-06-07,3014785
PK36-6627873303,Hina Kazmi,مکان 180 گلی 10 Chaklala Scheme 3 راولپنڈی,Bank Alfalah,Current,2020-05-18,139800
PK62-4014678200,Zara چوہدری,"House 238, Street 37, Westridge, Rawalpindi",HBL,Savings,2019-05-18,240863
PK92-5071287855,حسین شیخ,H#40 St-6 GulbergIII Lahore,Allied Bank,Current,2023-07-02,896201
PK37-3904353432,U.Joiya,مکان 334 گلی 13 Gulbahar Peshawar,Allied Bank,Foreign Currency,2019-09-25,104890
PK35-1254636985,Mian Taimoor Qureshi,مکان 366 گلی 6 University Town Peshawar,MCB,Current,2022-10-24,3059351
PK29-1949882416,Sardar Taimoor Qureshi,"House No. 366, Gali 6, University Town, Peshawar",Askari Bank,Current,2018-03-24,7810478
PK59-3719856191,Taimoor قریشی,"House 366, Street 6, University Town, Peshawar",Bank Alfalah,Savings,2018-05-07,6087843
PK30-1382482909,T. Qureshi,"House 366, Street 6, University Town, Peshawar",Meezan Bank,Foreign Currency,2018-01-25,4083835
PK79-7008734370,Irfan Kayani,H#309 St-10 Gulgasht Multan,Bank Alfalah,Savings,2021-01-11,281033
PK17-1645098787,Rana Shahzad Shirazi,H#159 St-36 Cantt Multan,Allied Bank,Savings,2018-12-26,4236386
PK25-7507028022,Haji Shahzad Shirazi,"House 159, Street 36, Cantt, Multan",Allied Bank,Savings,2021-03-26,2780563
PK15-7729621392,U. Wazir,"House No. 10, Gali 24, Gulshan-e-Iqbal, Karachi",MCB,Foreign Currency,2021-11-09,34561
PK33-3026052352,Umar Gondal,"House No. 40, Gali 19, Bahria Phase 4, Rawalpindi",JS Bank,Foreign Currency,2023-04-21,5623039
PK58-9225213265,Umar Gondal,H#40 St-19 BahriaPhase4 Rawalpindi,JS Bank,Savings,2021-08-07,4850287
PK99-2918759935,U. Gondal,"House 40, Street 19, Bahria Phase 4, Rawalpindi",JS Bank,Savings,2020-04-30,7128810
PK97-9208995700,Umar Gondal,H#40 St-19 BahriaPhase4 Rawalpindi,UBL,Savings,2019-07-13,1806120
PK74-9300417166,Iqra Virk,H#93 St-40 BahriaPhase4 Rawalpindi,UBL,Savings,2024-06-03,176991
PK11-6539810853,S. Yousafzai,"House 120, Street 35, Model Town, Lahore",Bank Alfalah,Savings,2022-06-12,323412
PK97-1545714643,Wajahat Kakar,H#258 St-34 ModelTown Lahore,Askari Bank,Savings,2023-05-24,228703
PK65-3447788688,Bilal Khattak,مکان 284 گلی 7 Gulshan-e-Iqbal کراچی,Askari Bank,Current,2021-01-23,38294
PK25-6304451948,Taimoor Kazmi,مکان 47 گلی 15 Westridge راولپنڈی,HBL,Savings,2024-04-09,250771
PK72-3558148250,Jawad Janjua,"House 192, Street 15, Clifton Block 2, Karachi",Bank Alfalah,Savings,2022-11-06,1949092
PK72-4672048069,J. Janjua,H#192 St-15 CliftonBlock2 Karachi,HBL,Foreign Currency,2022-07-22,7798670
PK56-4718954345,Jawad Janjua,"House 192, Street 15, Clifton Block 2, Karachi",UBL,Current,2020-07-06,2164534
PK40-9744892294,P. Afridi,"House No. 235, Gali 5, Gulbahar, Peshawar",HBL,Savings,2020-09-15,7987629
PK73-3780791512,Pervez Afridi,مکان 235 گلی 5 Gulbahar Peshawar,Meezan Bank,Savings,2021-09-25,4913498
PK40-8794255797,Syed Pervez Afridi,"House 235, Street 5, Gulbahar, Peshawar",JS Bank,Current,2022-03-15,1426371
PK78-1927335799,Pervez Afridi,مکان 235 گلی 5 Gulbahar Peshawar,MCB,Current,2020-10-11,3125790
PK48-9079487246,M.Abbasi,مکان 1 گلی 40 Model Town لاہور,Meezan Bank,Savings,2018-03-30,4486154
PK21-6427059484,M. Abbasi,"House No. 1, Gali 40, Model Town, Lahore",JS Bank,Savings,2021-01-09,4782910
PK52-8129362901,Kamran Naqvi,"House No. 260, Gali 36, D Ground, Faisalabad",Bank Alfalah,Savings,2023-05-17,4831088
PK75-9837993556,Kamran Naqvi,H#260 St-36 DGround Faisalabad,UBL,Foreign Currency,2024-03-19,2749399
PK55-8836402339,Uzma Ansari,H#238 St-31 Gulbahar Peshawar,MCB,Savings,2021-09-11,58162
PK22-7461534684,H. Mirza,"House No. 103, Gali 3, Satellite Town, Rawalpindi",Allied Bank,Foreign Currency,2025-09-09,62650
PK36-3193781858,Rauf Warraich,H#198 St-22 ShahRukn-e-Alam Multan,MCB,Foreign Currency,2022-12-02,56013
PK55-8863138232,H.Awan,H#399 St-24 F-8/3 Islamabad,UBL,Foreign Currency,2024-04-05,235304
PK76-7641400954,Jawad Sandhu,"House 294, Street 9, Clifton Block 2, Karachi",HBL,Savings,2022-03-03,6029772
PK80-1336205289,Jawad Sandhu,"House No. 294, Gali 9, Clifton Block 2, Karachi",Meezan Bank,Savings,2018-06-29,7827464
PK61-2224218018,Jawad Sandhu,H#294 St-9 CliftonBlock2 Karachi,Meezan Bank,Savings,2024-05-26,2556969
PK41-1182814889,Jawad Sandhu,H#294 St-9 CliftonBlock2 Karachi,JS Bank,Savings,2025-05-06,4835866
PK21-9374639009,H.Saddozai,H#266 St-25 Westridge Rawalpindi,Allied Bank,Savings,2019-01-12,6767950
PK51-7172565445,Rana Hassan Saddozai,H#266 St-25 Westridge Rawalpindi,Meezan Bank,Savings,2018-02-11,7997906
PK90-4259899045,حسن Saddozai,مکان 266 گلی 25 Westridge راولپنڈی,Askari Bank,Foreign Currency,2022-09-10,2480070
PK22-2011174614,Sardar Farah Gill,"House No. 282, Gali 35, Cantt, Multan",HBL,Current,2025-01-07,6462589
PK34-4918904679,F. Gill,مکان 282 گلی 35 Cantt Multan,Askari Bank,Savings,2020-02-02,3407137
PK95-4078050535,Malik Farah Gill,H#282 St-35 Cantt Multan,Meezan Bank,Current,2018-01-07,5310153
PK62-9452589264,Syed Ibrahim Kazmi,"House 103, Street 9, Satellite Town, Rawalpindi",Askari Bank,Savings,2020-10-23,1525177
PK51-6719852213,I. Kazmi,مکان 103 گلی 9 Satellite Town راولپنڈی,MCB,Current,2025-07-25,4605820
PK99-4947261191,Wajahat Zaidi,"House No. 34, Gali 20, Satellite Town, Rawalpindi",Bank Alfalah,Savings,2024-07-14,62784
PK60-8622232949,F. Awan,H#231 St-30 DHAPhase5 Lahore,Askari Bank,Savings,2020-09-02,3585998
PK50-8611738819,Malik Faisal Awan,مکان 231 گلی 30 DHA Phase 5 لاہور,HBL,Current,2024-06-24,1254636
PK73-9549000743,Chaudhary Farhan Naqvi,"House No. 129, Gali 13, DHA Phase 5, Lahore",Askari Bank,Savings,2018-02-20,78773
PK25-5170131415,Haji Yasir Mehsud,H#233 St-5 Gulshan-e-Iqbal Karachi,JS Bank,Savings,2023-12-14,3770415
PK81-1930932228,Rana Ehsan Shirazi,مکان 368 گلی 21 Chaklala Scheme 3 راولپنڈی,JS Bank,Savings,2020-08-08,4813027
PK94-5633744010,Malik Saqib Janjua,"House 137, Street 29, Clifton Block 2, Karachi",MCB,Savings,2020-05-17,236711
PK57-2794030880,Mehwish Tarar,H#168 St-37 BahriaPhase4 Rawalpindi,UBL,Foreign Currency,2024-01-04,52864
PK41-6882863642,Malik Anas Niazi,"House No. 47, Gali 26, Clifton Block 2, Karachi",UBL,Current,2019-01-01,6117600
PK73-6105222165,A.Niazi,"House No. 47, Gali 26, Clifton Block 2, Karachi",Askari Bank,Current,2025-03-18,3925884
PK62-3951141302,A.Niazi,H#47 St-26 CliftonBlock2 Karachi,Bank Alfalah,Savings,2021-08-17,1976018
PK63-5248335661,Anas Niazi,H#47 St-26 CliftonBlock2 Karachi,UBL,Savings,2021-10-31,3580958
PK34-6141328624,I.Hashmi,"House No. 345, Gali 31, D Ground, Faisalabad",HBL,Savings,2023-10-23,1822121
PK86-5584177692,I.Hashmi,"House No. 345, Gali 31, D Ground, Faisalabad",UBL,Foreign Currency,2025-04-03,3656690
PK99-6614482895,Rida Sandhu,مکان 188 گلی 3 University Town Peshawar,Bank Alfalah,Current,2025-10-01,3339450
PK35-7593904321,N.Sandhu,مکان 102 گلی 39 Hayatabad Phase 3 Peshawar,Bank Alfalah,Current,2024-01-18,160859
PK86-4939455049,Sardar Madiha Cheema,مکان 266 گلی 30 University Town Peshawar,MCB,Savings,2021-02-06,231342
PK45-4764125171,Haji Waqas Warraich,H#154 St-38 DGround Faisalabad,UBL,Savings,2024-06-28,1133292
PK19-4524530259,W.Warraich,H#154 St-38 DGround Faisalabad,UBL,Savings,2021-07-29,2773543
PK39-3600199941,Rana Hassan Shirazi,"House 336, Street 38, Gulshan-e-Iqbal, Karachi",Bank Alfalah,Current,2023-07-06,4397773
PK96-8512444715,S. Durrani,"House 76, Street 16, Madina Town, Faisalabad",UBL,Savings,2022-12-13,251886
PK90-1822744149,Nadia Bhatti,"House No. 270, Gali 25, Shah Rukn-e-Alam, Multan",JS Bank,Current,2020-05-08,218659
PK88-1690359751,Syed Shoaib Niazi,مکان 361 گلی 14 University Town Peshawar,Bank Alfalah,Savings,2019-04-24,2672391
