trip_id,passenger_name,passenger_address,destination,departure_date,trip_class,est_trip_cost_pkr
TRP-5928043,Tooba Siddiqui,H#141 St-16 B-17 Islamabad,Jeddah,2024-11-08,Business,483662
TRP-3864474,Chaudhary Tooba Siddiqui,H#141 St-16 B-17 Islamabad,Jeddah,2026-04-10,Business,424713
TRP-4100890,T. Siddiqui,مکان 141 گلی 16 B-17 اسلام آباد,London,2024-01-15,Business,1286562
TRP-3980886,Asad راجہ,"House No. 184, Gali 23, Clifton Block 2, Karachi",Baku,2025-02-23,Business,294306
TRP-9680402,Asad راجہ,H#184 St-23 CliftonBlock2 Karachi,Istanbul,2024-09-20,Business,462886
TRP-9838407,A.Raja,مکان 184 گلی 23 Clifton Block 2 کراچی,Dubai,2024-09-17,Business,413008
TRP-5831336,A. Raja,"House No. 184, Gali 23, Clifton Block 2, Karachi",Istanbul,2024-09-12,Business,439766
TRP-9060352,Haji Farah Lodhi,مکان 332 گلی 5 Gulgasht Multan,Lahore,2024-01-01,Economy,50968
TRP-2275594,Sardar Noor Durrani,مکان 391 گلی 12 Wapda Town لاہور,Dubai,2025-10-29,Business,311012
TRP-1976246,Noor Durrani,"House 391, Street 12, Wapda Town, Lahore",Kuala Lumpur,2025-08-07,First,598503
TRP-7251201,N.Durrani,"House No. 391, Gali 12, Wapda Town, Lahore",Baku,2026-01-13,Business,302222
TRP-9640441,Malik Waseem Khokhar,مکان 227 گلی 36 Satellite Town راولپنڈی,Karachi,2024-10-29,Economy,54536
TRP-7399812,U. Mirza,"House 80, Street 13, North Nazimabad, Karachi",Kuala Lumpur,2025-06-25,Business,567192
TRP-2448717,Ubaid Mirza,"House 80, Street 13, North Nazimabad, Karachi",Baku,2024-12-19,Business,282134
TRP-6900463,U.Mirza,H#80 St-13 NorthNazimabad Karachi,Jeddah,2026-02-17,Business,459163
TRP-1824706,U. Mirza,H#80 St-13 NorthNazimabad Karachi,Baku,2024-05-29,Business,264092
TRP-8772927,Syed Ubaid Mirza,"House No. 80, Gali 13, North Nazimabad, Karachi",Jeddah,2025-09-22,First,504548
TRP-9657185,I.Sheikh,"House 258, Street 34, Madina Town, Faisalabad",Karachi,2026-04-05,Economy,65824
TRP-6523544,Haji Iqra Chaudhry,H#207 St-8 Cantt Multan,Lahore,2024-08-13,Economy,47385
TRP-4915104,Haji Nadeem Dar,H#161 St-16 Gulgasht Multan,Istanbul,2025-07-28,Business,493016
TRP-7859186,N.Dar,H#161 St-16 Gulgasht Multan,Dubai,2025-10-16,Business,484066
TRP-1700187,F.Khan,"House No. 38, Gali 35, Clifton Block 2, Karachi",Karachi,2025-03-13,Economy,71871
TRP-6490864,Yasir Sandhu,H#225 St-35 JoharTown Lahore,Dubai,2024-06-25,First,330392
TRP-5710444,Yasir Sandhu,H#225 St-35 JoharTown Lahore,Kuala Lumpur,2024-11-08,Business,522782
TRP-9903930,Haji Bushra Qureshi,مکان 60 گلی 7 Chaklala Scheme 3 راولپنڈی,Jeddah,2025-11-30,Business,521345
TRP-1714268,B. Qureshi,"House 60, Street 7, Chaklala Scheme 3, Rawalpindi",Istanbul,2024-12-31,First,527890
TRP-4649178,Bushra قریشی,"House 60, Street 7, Chaklala Scheme 3, Rawalpindi",Jeddah,2025-11-20,First,435135
TRP-1314439,Mian Noman Mehsud,"House No. 259, Gali 32, Shah Rukn-e-Alam, Multan",Baku,2026-01-12,First,381485
TRP-6860272,Syed Usman Gill,"House No. 342, Gali 7, Bahria Phase 4, Rawalpindi",Kuala Lumpur,2024-02-12,Business,528549
TRP-7255608,U.Gill,"House 342, Street 7, Bahria Phase 4, Rawalpindi",Istanbul,2024-05-05,First,346603
TRP-2835015,Babar ملک,"House No. 92, Gali 38, I-8/4, Islamabad",Dubai,2024-03-28,Business,384415
TRP-4147074,Babar ملک,"House No. 92, Gali 38, I-8/4, Islamabad",Baku,2024-05-27,Business,295185
TRP-2682205,Babar ملک,مکان 92 گلی 38 I-8/4 اسلام آباد,Jeddah,2026-03-10,Business,455653
TRP-4870352,Saqib Sial,مکان 60 گلی 25 D Ground Faisalabad,Istanbul,2024-09-13,Business,590966
TRP-9162832,Saqib Sial,H#60 St-25 DGround Faisalabad,Jeddah,2024-11-01,Business,406064
TRP-7892172,Atif Warraich,"House 284, Street 9, Shah Rukn-e-Alam, Multan",Istanbul,2025-08-09,First,359165
TRP-7408675,Atif Warraich,"House No. 284, Gali 9, Shah Rukn-e-Alam, Multan",Istanbul,2024-04-05,First,405876
TRP-2764731,Nasir Zaidi,"House 156, Street 19, Hayatabad Phase 3, Peshawar",Dubai,2025-05-10,First,386726
TRP-7074314,Rana Nasir Zaidi,"House No. 156, Gali 19, Hayatabad Phase 3, Peshawar",Baku,2025-03-04,First,344960
TRP-8649014,N. Zaidi,H#156 St-19 HayatabadPhase3 Peshawar,Kuala Lumpur,2025-01-31,Business,469092
TRP-5502386,Nasir Zaidi,H#156 St-19 HayatabadPhase3 Peshawar,Istanbul,2025-08-16,Business,498302
TRP-1925668,R.Kazmi,H#338 St-6 DHAPhase6 Karachi,Karachi,2025-01-01,Economy,55804
TRP-3052579,U. Tarar,"House 100, Street 25, Gulgasht, Multan",London,2025-05-07,Business,1292649
TRP-6469850,Ubaid Tarar,مکان 100 گلی 25 Gulgasht Multan,Dubai,2025-08-29,Business,420337
TRP-9799372,U.Tarar,H#100 St-25 Gulgasht Multan,Baku,2025-06-15,First,294581
TRP-1060841,Qasim Gondal,مکان 26 گلی 36 Westridge راولپنڈی,Karachi,2025-01-10,Economy,87937
TRP-9278067,H. Zaidi,H#387 St-29 MadinaTown Faisalabad,Kuala Lumpur,2025-12-06,Business,498884
TRP-1175585,H.Zaidi,"House 387, Street 29, Madina Town, Faisalabad",Jeddah,2026-03-25,Business,536513
TRP-8473146,Hina Zaidi,H#387 St-29 MadinaTown Faisalabad,Istanbul,2025-02-14,First,359624
TRP-8442905,Yousuf Joiya,"House No. 327, Gali 18, Johar Town, Lahore",London,2025-09-07,Business,1334553
TRP-6607731,Y.Joiya,"House No. 327, Gali 18, Johar Town, Lahore",Baku,2025-12-13,Business,449009
TRP-4078929,Syed Yousuf Joiya,مکان 327 گلی 18 Johar Town لاہور,Istanbul,2025-08-19,First,381197
TRP-6802014,Yousuf Joiya,H#327 St-18 JoharTown Lahore,London,2025-12-10,Business,869023
TRP-7643810,Chaudhary Pervez Rizvi,"House No. 280, Gali 39, Gulgasht, Multan",London,2025-05-18,First,1011345
TRP-1193365,Pervez Rizvi,"House No. 280, Gali 39, Gulgasht, Multan",Dubai,2024-05-08,Business,346964
TRP-2702398,R. Khokhar,H#390 St-25 GulbergIII Lahore,Istanbul,2024-10-27,First,582685
TRP-7279849,R. Khokhar,مکان 390 گلی 25 Gulberg III لاہور,Dubai,2024-09-04,Business,376406
TRP-2218410,R.Khokhar,"House 390, Street 25, Gulberg III, Lahore",Istanbul,2024-05-08,Business,553589
TRP-2607887,Rehan Khokhar,مکان 390 گلی 25 Gulberg III لاہور,Istanbul,2025-01-09,First,424309
TRP-3018711,A.Janjua,H#343 St-8 Westridge Rawalpindi,Lahore,2026-05-15,Economy,56153
TRP-5743218,Amna Mehsud,مکان 367 گلی 13 North Nazimabad کراچی,Baku,2026-01-14,Business,442088
TRP-1834110,A.Mehsud,مکان 367 گلی 13 North Nazimabad کراچی,London,2025-06-16,First,825395
TRP-6816315,Syed Amna Mehsud,H#367 St-13 NorthNazimabad Karachi,Istanbul,2025-02-25,First,571841
TRP-7501644,A.Mehsud,"House No. 367, Gali 13, North Nazimabad, Karachi",Istanbul,2025-07-31,Business,585393
TRP-6739511,Syed Asad Sial,"House 363, Street 10, Model Town, Lahore",Karachi,2025-06-03,Economy,89747
TRP-9152287,Wajahat Gilani,مکان 195 گلی 22 D Ground Faisalabad,Istanbul,2025-03-02,Business,424860
TRP-7558348,Wajahat Gilani,"House No. 195, Gali 22, D Ground, Faisalabad",Baku,2024-11-06,First,285282
TRP-3685540,Rana Wajahat Gilani,H#195 St-22 DGround Faisalabad,London,2024-09-14,First,876964
TRP-8620212,Nadeem Cheema,"House 360, Street 18, Wapda Town, Lahore",Lahore,2026-04-30,Economy,36650
TRP-8925498,Babar Gill,"House 139, Street 20, Shah Rukn-e-Alam, Multan",Lahore,2025-04-10,Economy,52866
TRP-1612597,Syed Sadia Mirza,"House 327, Street 32, Cantt, Multan",Dubai,2024-06-23,Business,358481
TRP-2445038,Mian Sadia Mirza,مکان 327 گلی 32 Cantt Multan,Istanbul,2024-08-20,Business,400656
TRP-9707087,Rana Sadia Mirza,مکان 327 گلی 32 Cantt Multan,Jeddah,2024-12-16,First,555210
TRP-2827004,S.Mirza,"House 327, Street 32, Cantt, Multan",London,2026-04-18,Business,1190232
TRP-8759588,Talha شیخ,"House 59, Street 5, Model Town, Lahore",Istanbul,2025-02-01,Business,428140
TRP-4153748,Sardar Talha Sheikh,"House No. 59, Gali 5, Model Town, Lahore",Baku,2025-02-06,First,333125
TRP-9977736,Talha شیخ,"House 59, Street 5, Model Town, Lahore",Kuala Lumpur,2024-10-30,First,487981
TRP-2863712,Adnan Gilani,"House 128, Street 8, DHA Phase 5, Lahore",Karachi,2026-04-17,Economy,63741
TRP-9501735,M. Bukhari,"House No. 292, Gali 40, Gulshan-e-Iqbal, Karachi",Baku,2025-10-02,Business,335696
TRP-8290462,Chaudhary Mubashir Bukhari,H#292 St-40 Gulshan-e-Iqbal Karachi,Baku,2024-05-30,Business,407402
TRP-2136149,Mubashir Bukhari,H#292 St-40 Gulshan-e-Iqbal Karachi,Jeddah,2024-12-17,Business,517733
TRP-3996034,L.Mirza,مکان 37 گلی 15 Shah Rukn-e-Alam Multan,Lahore,2024-08-09,Economy,37789
TRP-3687135,K.Warraich,مکان 277 گلی 32 Wapda Town لاہور,Baku,2024-08-02,First,318618
TRP-6490139,Mian Kinza Warraich,"House 277, Street 32, Wapda Town, Lahore",London,2025-12-01,Business,775717
TRP-1505595,حسن راجہ,مکان 392 گلی 18 Satellite Town راولپنڈی,Kuala Lumpur,2024-08-14,Business,505942
TRP-7467733,حسن راجہ,"House No. 392, Gali 18, Satellite Town, Rawalpindi",Baku,2024-01-10,Business,295236
