registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
REG-681811,Mian Tooba Siddiqui,Noman Durrani,"House 163, Street 15, G-10/2, Islamabad",26192970,2025-05-02,10,Commercial Plaza
REG-109098,Sardar Tooba Siddiqui,Bilal Shirazi,"House 241, Street 39, E-11/2, Islamabad",72511920,2022-05-12,20,Farmhouse
REG-663357,Asad راجہ,Farhan Gondal,"House 292, Street 17, Clifton Block 2, Karachi",46061582,2022-04-20,7,Residential House
REG-598408,N. Durrani,Wajahat Tarar,"House 145, Street 2, Gulberg III, Lahore",101312580,2024-02-16,20,Residential Plot
REG-921130,F.Janjua,Junaid Durrani,"House 259, Street 31, Johar Town, Lahore",52071614,2022-04-08,7,Commercial Plaza
REG-571628,J. Tarar,Owais Mirza,"House 226, Street 35, Clifton Block 2, Karachi",6881916,2021-01-22,3,Residential House
REG-260118,U. Mirza,Iqra Lodhi,"House 29, Street 27, Gulshan-e-Iqbal, Karachi",359791960,2022-11-30,40,Residential House
REG-209724,U. Mirza,Asad Malik,"House 356, Street 25, North Nazimabad, Karachi",318203120,2023-05-09,40,Farmhouse
REG-889825,N. Dar,Mahnoor Lodhi,"House 229, Street 6, Gulgasht, Multan",58432620,2024-09-24,10,Farmhouse
REG-663556,Yasir Sandhu,Nimra Hashmi,"House 142, Street 6, DHA Phase 5, Lahore",306887800,2022-07-17,40,Commercial Plaza
REG-883150,B. Qureshi,Hina Warraich,"House 249, Street 7, Chaklala Scheme 3, Rawalpindi",84652560,2023-03-31,10,Commercial Plaza
REG-260617,Noman Mehsud,Jawad Sandhu,"House 353, Street 18, Shah Rukn-e-Alam, Multan",117080000,2021-05-21,20,Residential House
REG-524584,عثمان خان,Mehwish Sheikh,"House 356, Street 16, Gulberg III, Lahore",28197946,2023-09-25,7,Residential House
REG-375242,U. Gill,Hina Kakar,"House 322, Street 8, Bahria Phase 4, Rawalpindi",58837198,2026-02-05,7,Apartment
REG-266793,Babar Malik,Bushra Mughal,"House 194, Street 6, G-10/2, Islamabad",70564940,2022-10-23,10,Farmhouse
REG-793528,S. Sial,Amna Khan,"House 341, Street 31, Madina Town, Faisalabad",39715495,2023-05-14,5,Residential House
REG-876431,S. Sial,Wajahat Virk,"House 310, Street 24, Peoples Colony, Faisalabad",151603960,2021-10-23,40,Apartment
REG-426629,Mian Atif Warraich,Atif Raja,"House 130, Street 25, Gulgasht, Multan",76150060,2023-09-11,20,Residential Plot
REG-270838,Rana Atif Warraich,Farhan Siddiqui,"House 42, Street 20, Cantt, Multan",617800880,2021-02-23,80,Residential House
REG-377030,N.Zaidi,Danish Gondal,"House 298, Street 27, Gulbahar, Peshawar",15219344,2021-12-29,7,Apartment
REG-456815,N.Zaidi,Anas Kayani,"House 60, Street 1, University Town, Peshawar",81328120,2025-11-14,10,Farmhouse
REG-135410,R. Kazmi,Obaid Zaidi,"House 320, Street 29, North Nazimabad, Karachi",20363798,2023-09-03,7,Apartment
REG-657536,U. Tarar,Nadia Cheema,"House 246, Street 22, Cantt, Multan",349840080,2022-08-12,40,Residential House
REG-938396,U. Tarar,Saba Tareen,"House 267, Street 1, Shah Rukn-e-Alam, Multan",33270645,2025-04-16,5,Residential Plot
REG-668225,Q. Gondal,Umar Tareen,"House 286, Street 33, Satellite Town, Rawalpindi",11300247,2022-01-10,3,Apartment
REG-365145,Mian Hina Zaidi,Hafsa Gilani,"House 88, Street 4, Peoples Colony, Faisalabad",150243760,2023-07-06,20,Apartment
REG-858982,Yousuf Joiya,Nadia Abbasi,"House 370, Street 23, Johar Town, Lahore",44583875,2024-01-31,5,Residential Plot
REG-724356,P.Rizvi,Iqra Gondal,"House 390, Street 6, Gulgasht, Multan",167179380,2021-04-19,20,Commercial Plaza
REG-342428,Rehan Khokhar,Nimra Baig,"House 205, Street 38, DHA Phase 5, Lahore",147374600,2022-09-19,40,Commercial Plaza
REG-804505,Rehan Khokhar,Rehan Saddozai,"House 94, Street 23, Johar Town, Lahore",89611160,2025-05-13,10,Farmhouse
REG-490344,Z. Sheikh,Waqas Sandhu,"House 45, Street 9, Gulberg III, Lahore",49044716,2025-07-24,7,Residential Plot
REG-938072,A. Mehsud,Noman Butt,"House 201, Street 8, North Nazimabad, Karachi",271278680,2022-07-30,40,Residential Plot
REG-560215,Malik Rabia Butt,Bilal Afridi,"House 302, Street 10, DHA Phase 5, Lahore",18078054,2024-09-05,3,Residential House
REG-183328,W.Sial,Hassan Malik,"House 150, Street 15, University Town, Peshawar",16090270,2024-04-03,7,Residential Plot
REG-273993,Malik Wajahat Gilani,Nasir Sheikh,"House 128, Street 3, Peoples Colony, Faisalabad",71002270,2021-01-09,10,Residential Plot
REG-590836,Haji Wajahat Gilani,Jawad Virk,"House 53, Street 12, Madina Town, Faisalabad",21267610,2025-03-03,10,Residential House
REG-534184,J.Janjua,Hussain Kazmi,"House 1, Street 37, Gulberg III, Lahore",27892650,2023-01-10,5,Residential House
REG-977150,U.Mirza,Arsalan Raja,"House 19, Street 6, Satellite Town, Rawalpindi",25633660,2024-11-04,5,Farmhouse
REG-578145,Sadia Mirza,Asad Malik,"House 3, Street 5, Shah Rukn-e-Alam, Multan",171580640,2021-04-20,20,Apartment
REG-262288,Talha شیخ,Qasim Orakzai,"House 254, Street 10, Johar Town, Lahore",173817080,2026-02-13,40,Farmhouse
REG-588850,M. Bukhari,Anas Mehsud,"House 322, Street 16, North Nazimabad, Karachi",113899040,2025-12-26,40,Commercial Plaza
REG-245230,M. Bukhari,Pervez Chaudhry,"House 65, Street 5, DHA Phase 6, Karachi",78787150,2024-05-25,10,Residential Plot
REG-604870,L.Mirza,Kinza Mughal,"House 272, Street 31, Gulgasht, Multan",35422002,2025-05-17,7,Residential House
REG-463076,U.Abbasi,Khadija Bhatti,"House 35, Street 37, Johar Town, Lahore",29504475,2025-04-13,5,Commercial Plaza
REG-132117,K. Warraich,Waqas Dar,"House 8, Street 35, DHA Phase 5, Lahore",714534240,2022-03-02,80,Commercial Plaza
REG-833400,K. Warraich,Hussain Saddozai,"House 75, Street 37, Johar Town, Lahore",77816320,2023-11-07,20,Commercial Plaza
REG-882051,حسن راجہ,Atif Butt,"House 119, Street 1, Bahria Phase 4, Rawalpindi",26729682,2021-11-11,7,Commercial Plaza
REG-191162,Chaudhary Fahad Kakar,Usman Kakar,"House 169, Street 11, Gulshan-e-Iqbal, Karachi",194182560,2021-08-07,40,Commercial Plaza
REG-843064,Anas Afridi,Sadia Gondal,"House 157, Street 22, North Nazimabad, Karachi",33847650,2021-02-07,5,Apartment
REG-173765,Hamza Malik,Rauf Mehsud,"House 67, Street 33, Gulgasht, Multan",56462300,2025-03-13,10,Farmhouse
REG-789531,Chaudhary Ehsan Kazmi,Tooba Baig,"House 329, Street 1, Model Town, Lahore",37776370,2022-10-10,5,Farmhouse
REG-255831,Malik Ehsan Kazmi,Luqman Bukhari,"House 102, Street 33, Gulberg III, Lahore",145119120,2021-11-17,40,Commercial Plaza
REG-573415,Chaudhary Farhan Cheema,Jawad Gill,"House 77, Street 3, Peoples Colony, Faisalabad",22168575,2024-11-24,5,Apartment
REG-623996,Haji Zeeshan Joiya,Babar Sial,"House 250, Street 35, G-13/1, Islamabad",54038460,2021-01-14,7,Commercial Plaza
REG-529855,Sardar Zeeshan Joiya,Uzma Awan,"House 99, Street 37, B-17, Islamabad",26228195,2023-09-27,7,Farmhouse
REG-344500,Ehsan Yousafzai,Shahzad Abbasi,"House 335, Street 30, Shah Rukn-e-Alam, Multan",32455620,2023-11-13,5,Commercial Plaza
REG-934210,Z.Butt,Nasir Naqvi,"House 307, Street 9, D Ground, Faisalabad",15503820,2021-05-06,5,Residential Plot
REG-496360,Sufyan Mughal,Javeria Khattak,"House 242, Street 37, Shah Rukn-e-Alam, Multan",7269081,2023-04-03,3,Residential House
REG-780383,Y.Naqvi,Usman Rajput,"House 53, Street 4, North Nazimabad, Karachi",32306770,2023-08-16,10,Commercial Plaza
REG-877580,D.Khokhar,Qasim Tareen,"House 294, Street 39, Shah Rukn-e-Alam, Multan",168441800,2023-03-21,20,Apartment
REG-624371,Asad Janjua,Amna Tarar,"House 27, Street 30, DHA Phase 6, Karachi",43676525,2021-08-30,5,Commercial Plaza
REG-452268,G. Tareen,Ubaid Ansari,"House 275, Street 4, Shah Rukn-e-Alam, Multan",12293475,2023-10-20,5,Commercial Plaza
REG-533959,Rana Shoaib Mehsud,Mustafa Chaudhry,"House 333, Street 11, Shah Rukn-e-Alam, Multan",54612768,2024-01-05,7,Commercial Plaza
REG-284570,Ubaid Sandhu,Sadia Mehsud,"House 174, Street 9, Cantt, Multan",717454880,2023-12-06,80,Residential Plot
REG-843635,Nimra Zaidi,Taimoor Malik,"House 84, Street 17, DHA Phase 5, Lahore",43217745,2022-10-02,5,Residential Plot
REG-846245,M. Hashmi,Danish Dar,"House 92, Street 40, G-10/2, Islamabad",161176620,2022-01-19,20,Residential Plot
REG-660630,M. Hashmi,Laiba Cheema,"House 239, Street 29, G-10/2, Islamabad",63664480,2022-12-23,10,Residential House
REG-853328,Hamza Khokhar,Sadia Butt,"House 338, Street 11, I-8/4, Islamabad",17799502,2023-01-11,7,Apartment
REG-748092,محمد Lodhi,Nadia Butt,"House 309, Street 4, Gulbahar, Peshawar",30528197,2021-11-30,7,Farmhouse
REG-414984,A. Gill,Nasir Hashmi,"House 365, Street 5, University Town, Peshawar",35257820,2021-04-21,5,Residential House
REG-337076,Hina Siddiqui,Zara Khokhar,"House 39, Street 25, Gulgasht, Multan",77348240,2021-11-08,10,Residential Plot
REG-665198,Haji Rauf Joiya,Kamran Chaudhry,"House 61, Street 7, Chaklala Scheme 3, Rawalpindi",398506720,2023-04-29,80,Apartment
REG-566638,K.Sandhu,Zara Durrani,"House 381, Street 14, Westridge, Rawalpindi",210427440,2025-04-18,80,Farmhouse
REG-454251,Haji Noor Sheikh,Irfan Afridi,"House 208, Street 5, Johar Town, Lahore",49180516,2024-09-05,7,Residential House
REG-167894,Mehwish Mehsud,Shahzad Durrani,"House 269, Street 30, Cantt, Multan",260028160,2025-02-01,40,Farmhouse
